Id,Label,Genres,Followers,Popularity,Interval,StaticFollowers,StaticPopularity,
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,"pop","<[0, 0,807813]; [1, 1,814284]; [2, 2,821215]; [3, 3,828483]; [4, 4,835064]; [5, 5,841034]; [6, 6,847509]; [7, 7,853083]; [8, 8,858842]; [9, 9,864390]; [10, 10,870184]; [11, 11,875192]; [12, 12,880317]; [13, 13,885442]; [14, 14,890347]; [15, 15,895823]; [16, 16,900570]; [17, 17,905880]; [18, 18,910758]; [19, 19,915336]; [20, 20,920354]; [21, 21,924900]; [22, 22,929811]; [23, 23,935939]; [24, 24,941116]; [25, 25,946550]; [26, 26,951430]; [27, 27,956317]; [28, 28,961155]; >","<[0, 0,88]; [1, 1,88]; [2, 2,88]; [3, 3,89]; [4, 4,89]; [5, 5,89]; [6, 6,89]; [7, 7,90]; [8, 8,90]; [9, 9,90]; [10, 10,90]; [11, 11,90]; [12, 12,90]; [13, 13,90]; [14, 14,90]; [15, 15,90]; [16, 16,91]; [17, 17,91]; [18, 18,91]; [19, 19,91]; [20, 20,91]; [21, 21,91]; [22, 22,91]; [23, 23,91]; [24, 24,91]; [25, 25,91]; [26, 26,91]; [27, 27,91]; [28, 28,91]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",961155,91,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop","<[0, 0,30336501]; [1, 1,30379102]; [2, 2,30424416]; [3, 3,30468710]; [4, 4,30514746]; [5, 5,30558940]; [6, 6,30558041]; [7, 7,30600542]; [8, 8,30642172]; [9, 9,30682021]; [10, 10,30723455]; [11, 11,30765643]; [12, 12,30804708]; [13, 13,30842793]; [14, 14,30879749]; [15, 15,30919277]; [16, 16,30961925]; [17, 17,31003620]; [18, 18,31045601]; [19, 19,31086163]; [20, 20,31123757]; [21, 21,31161054]; [22, 22,31200316]; [23, 23,31241181]; [24, 24,31280933]; [25, 25,31308207]; [26, 26,31307117]; [27, 27,31348348]; [28, 28,31389338]; >","<[0, 0,98]; [1, 1,98]; [2, 2,98]; [3, 3,98]; [4, 4,98]; [5, 5,98]; [6, 6,98]; [7, 7,97]; [8, 8,97]; [9, 9,97]; [10, 10,97]; [11, 11,97]; [12, 12,97]; [13, 13,97]; [14, 14,97]; [15, 15,97]; [16, 16,97]; [17, 17,96]; [18, 18,96]; [19, 19,96]; [20, 20,96]; [21, 21,96]; [22, 22,96]; [23, 23,96]; [24, 24,96]; [25, 25,96]; [26, 26,96]; [27, 27,96]; [28, 28,96]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",31389338,96,
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop,post-teen pop","<[0, 0,43755452]; [1, 1,43792244]; [2, 2,43828448]; [3, 3,43867172]; [4, 4,43904206]; [5, 5,43940471]; [6, 6,43972174]; [7, 7,44006817]; [8, 8,44040990]; [9, 9,44074825]; [10, 10,44109696]; [11, 11,44142583]; [12, 12,44175213]; [13, 13,44210215]; [14, 14,44244406]; [15, 15,44276707]; [16, 16,44309916]; [17, 17,44344155]; [18, 18,44378255]; [19, 19,44410543]; [20, 20,44442463]; [21, 21,44473900]; [22, 22,44506520]; [23, 23,44539130]; [24, 24,44573007]; [25, 25,44606973]; [26, 26,44639988]; [27, 27,44672226]; [28, 28,44704375]; >","<[0, 0,98]; [1, 1,99]; [2, 2,99]; [3, 3,99]; [4, 4,99]; [5, 5,100]; [6, 6,100]; [7, 7,100]; [8, 8,100]; [9, 9,100]; [10, 10,100]; [11, 11,100]; [12, 12,100]; [13, 13,100]; [14, 14,100]; [15, 15,100]; [16, 16,100]; [17, 17,100]; [18, 18,100]; [19, 19,100]; [20, 20,100]; [21, 21,100]; [22, 22,100]; [23, 23,100]; [24, 24,100]; [25, 25,100]; [26, 26,100]; [27, 27,100]; [28, 28,100]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",44704375,100,
4kYSro6naA4h99UJvo89HB,Cardi B,"dance pop,pop,pop rap,rap","<[0, 0,15298653]; [1, 1,15319934]; [2, 2,15341119]; [3, 3,15364270]; [4, 4,15387566]; [5, 5,15409844]; [6, 6,15428586]; [7, 7,15448755]; [8, 8,15469643]; [9, 9,15489177]; [10, 10,15511659]; [11, 11,15531006]; [12, 12,15550093]; [13, 13,15568523]; [14, 14,15585793]; [15, 15,15603889]; [16, 16,15621326]; [17, 17,15640538]; [18, 18,15659542]; [19, 19,15678579]; [20, 20,15696070]; [21, 21,15712901]; [22, 22,15729617]; [23, 23,15745947]; [24, 24,15762250]; [25, 25,15780407]; [26, 26,15796778]; [27, 27,15813726]; [28, 28,15829769]; >","<[0, 0,91]; [1, 1,91]; [2, 2,91]; [3, 3,91]; [4, 4,91]; [5, 5,91]; [6, 6,91]; [7, 7,91]; [8, 8,90]; [9, 9,90]; [10, 10,90]; [11, 11,90]; [12, 12,90]; [13, 13,90]; [14, 14,90]; [15, 15,90]; [16, 16,90]; [17, 17,90]; [18, 18,90]; [19, 19,90]; [20, 20,90]; [21, 21,90]; [22, 22,90]; [23, 23,90]; [24, 24,90]; [25, 25,90]; [26, 26,90]; [27, 27,90]; [28, 28,90]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",15829769,90,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"latin,reggaeton,trap latino","<[0, 0,31412713]; [1, 1,31453374]; [2, 2,31492133]; [3, 3,31530721]; [4, 4,31570706]; [5, 5,31606714]; [6, 6,31549592]; [7, 7,31589630]; [8, 8,31626374]; [9, 9,31660107]; [10, 10,31694500]; [11, 11,31728282]; [12, 12,31759379]; [13, 13,31791825]; [14, 14,31827257]; [15, 15,31863068]; [16, 16,31901967]; [17, 17,31941333]; [18, 18,31977808]; [19, 19,32014056]; [20, 20,32049881]; [21, 21,32087844]; [22, 22,32127908]; [23, 23,32169246]; [24, 24,32211074]; [25, 25,32244734]; [26, 26,32263629]; [27, 27,32304467]; [28, 28,32347953]; >","<[0, 0,99]; [1, 1,99]; [2, 2,99]; [3, 3,99]; [4, 4,99]; [5, 5,99]; [6, 6,99]; [7, 7,99]; [8, 8,99]; [9, 9,99]; [10, 10,98]; [11, 11,98]; [12, 12,98]; [13, 13,98]; [14, 14,98]; [15, 15,98]; [16, 16,98]; [17, 17,98]; [18, 18,98]; [19, 19,98]; [20, 20,98]; [21, 21,98]; [22, 22,98]; [23, 23,98]; [24, 24,98]; [25, 25,98]; [26, 26,98]; [27, 27,98]; [28, 28,98]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",32347953,98,
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"pop","<[0, 0,29381079]; [1, 1,29403005]; [2, 2,29424890]; [3, 3,29446988]; [4, 4,29469415]; [5, 5,29491235]; [6, 6,29510385]; [7, 7,29531522]; [8, 8,29551560]; [9, 9,29571216]; [10, 10,29591365]; [11, 11,29611405]; [12, 12,29630783]; [13, 13,29650395]; [14, 14,29670378]; [15, 15,29689986]; [16, 16,29710386]; [17, 17,29731136]; [18, 18,29752381]; [19, 19,29772743]; [20, 20,29791742]; [21, 21,29811181]; [22, 22,29832394]; [23, 23,29854394]; [24, 24,29876443]; [25, 25,29899101]; [26, 26,29920769]; [27, 27,29942000]; [28, 28,29963714]; >","<[0, 0,93]; [1, 1,93]; [2, 2,93]; [3, 3,93]; [4, 4,93]; [5, 5,93]; [6, 6,93]; [7, 7,93]; [8, 8,93]; [9, 9,93]; [10, 10,93]; [11, 11,93]; [12, 12,93]; [13, 13,93]; [14, 14,93]; [15, 15,93]; [16, 16,93]; [17, 17,93]; [18, 18,93]; [19, 19,93]; [20, 20,93]; [21, 21,93]; [22, 22,93]; [23, 23,93]; [24, 24,93]; [25, 25,93]; [26, 26,93]; [27, 27,93]; [28, 28,93]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",29963714,93,
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,"canadian contemporary r&b,pop","<[0, 0,2532515]; [1, 1,2535111]; [2, 2,2537632]; [3, 3,2540098]; [4, 4,2542520]; [5, 5,2544870]; [6, 6,2547051]; [7, 7,2549521]; [8, 8,2551674]; [9, 9,2554056]; [10, 10,2556371]; [11, 11,2558384]; [12, 12,2560477]; [13, 13,2562712]; [14, 14,2565194]; [15, 15,2567458]; [16, 16,2569756]; [17, 17,2571816]; [18, 18,2573895]; [19, 19,2575924]; [20, 20,2578045]; [21, 21,2580058]; [22, 22,2582105]; [23, 23,2584167]; [24, 24,2586152]; [25, 25,2588034]; [26, 26,2589788]; [27, 27,2591725]; [28, 28,2593588]; >","<[0, 0,84]; [1, 1,84]; [2, 2,84]; [3, 3,85]; [4, 4,86]; [5, 5,86]; [6, 6,86]; [7, 7,86]; [8, 8,87]; [9, 9,87]; [10, 10,87]; [11, 11,87]; [12, 12,87]; [13, 13,87]; [14, 14,88]; [15, 15,88]; [16, 16,88]; [17, 17,88]; [18, 18,88]; [19, 19,88]; [20, 20,88]; [21, 21,88]; [22, 22,88]; [23, 23,89]; [24, 24,89]; [25, 25,89]; [26, 26,89]; [27, 27,89]; [28, 28,89]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",2593588,89,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,"alt z,pop,post-teen pop","<[0, 0,1157650]; [1, 1,1164459]; [2, 2,1170673]; [3, 3,1178320]; [4, 4,1186391]; [5, 5,1193029]; [6, 6,1205223]; [7, 7,1215858]; [8, 8,1223580]; [9, 9,1248073]; [10, 10,1268738]; [11, 11,1282320]; [12, 12,1294901]; [13, 13,1307405]; [14, 14,1318476]; [15, 15,1329463]; [16, 16,1340580]; [17, 17,1351452]; [18, 18,1361709]; [19, 19,1370986]; [20, 20,1380547]; [21, 21,1393865]; [22, 22,1407680]; [23, 23,1420273]; [24, 24,1433165]; [25, 25,1444702]; [26, 26,1456444]; [27, 27,1467310]; [28, 28,1478127]; >","<[0, 0,88]; [1, 1,88]; [2, 2,88]; [3, 3,88]; [4, 4,88]; [5, 5,88]; [6, 6,88]; [7, 7,87]; [8, 8,87]; [9, 9,87]; [10, 10,87]; [11, 11,87]; [12, 12,87]; [13, 13,87]; [14, 14,87]; [15, 15,87]; [16, 16,87]; [17, 17,87]; [18, 18,87]; [19, 19,88]; [20, 20,88]; [21, 21,88]; [22, 22,88]; [23, 23,88]; [24, 24,88]; [25, 25,88]; [26, 26,88]; [27, 27,88]; [28, 28,88]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",1478127,88,
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,"colombian pop,pop","<[0, 0,1595994]; [1, 1,1601633]; [2, 2,1606712]; [3, 3,1612277]; [4, 4,1616743]; [5, 5,1621505]; [6, 6,1626171]; [7, 7,1630701]; [8, 8,1634663]; [9, 9,1638767]; [10, 10,1642969]; [11, 11,1646659]; [12, 12,1650523]; [13, 13,1654469]; [14, 14,1658240]; [15, 15,1662362]; [16, 16,1666227]; [17, 17,1670052]; [18, 18,1673324]; [19, 19,1677129]; [20, 20,1680779]; [21, 21,1684227]; [22, 22,1688000]; [23, 23,1691466]; [24, 24,1694803]; [25, 25,1698014]; [26, 26,1701424]; [27, 27,1704634]; [28, 28,1707763]; >","<[0, 0,88]; [1, 1,89]; [2, 2,89]; [3, 3,89]; [4, 4,89]; [5, 5,89]; [6, 6,89]; [7, 7,89]; [8, 8,88]; [9, 9,88]; [10, 10,88]; [11, 11,88]; [12, 12,88]; [13, 13,88]; [14, 14,88]; [15, 15,88]; [16, 16,88]; [17, 17,88]; [18, 18,88]; [19, 19,88]; [20, 20,88]; [21, 21,88]; [22, 22,88]; [23, 23,88]; [24, 24,88]; [25, 25,88]; [26, 26,88]; [27, 27,88]; [28, 28,88]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",1707763,88,
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,"","<[0, 0,132162]; [1, 1,134055]; [2, 2,135714]; [3, 3,137563]; [4, 4,139069]; [5, 5,140319]; [6, 6,141751]; [7, 7,143102]; [8, 8,144664]; [9, 9,145947]; [10, 10,147941]; [11, 11,149395]; [12, 12,151008]; [13, 13,152594]; [14, 14,153869]; [15, 15,155091]; [16, 16,156281]; [17, 17,157593]; [18, 18,158576]; [19, 19,159537]; [20, 20,160641]; [21, 21,161753]; [22, 22,162631]; [23, 23,163556]; [24, 24,164526]; [25, 25,165400]; [26, 26,166123]; [27, 27,166844]; [28, 28,167545]; >","<[0, 0,81]; [1, 1,81]; [2, 2,81]; [3, 3,81]; [4, 4,81]; [5, 5,82]; [6, 6,82]; [7, 7,82]; [8, 8,82]; [9, 9,82]; [10, 10,82]; [11, 11,82]; [12, 12,82]; [13, 13,82]; [14, 14,82]; [15, 15,82]; [16, 16,82]; [17, 17,82]; [18, 18,82]; [19, 19,82]; [20, 20,82]; [21, 21,82]; [22, 22,82]; [23, 23,82]; [24, 24,82]; [25, 25,83]; [26, 26,83]; [27, 27,83]; [28, 28,83]; >","<[0,0]; [1,1]; [2,2]; [3,3]; [4,4]; [5,5]; [6,6]; [7,7]; [8,8]; [9,9]; [10,10]; [11,11]; [12,12]; [13,13]; [14,14]; [15,15]; [16,16]; [17,17]; [18,18]; [19,19]; [20,20]; [21,21]; [22,22]; [23,23]; [24,24]; [25,25]; [26,26]; [27,27]; [28,28]; >",167545,83,
